addr,covered,name,price,time,type_home
昌平区-朱辛庄东侧约50米,总建面 28万 ㎡ 2017年10月16日开盘 浏览,TBD万科天地,均价 38000 元/㎡,2017年10月16日开盘 浏览,写字楼 品牌地产
"门头沟区-门头沟西长安西城,长安街西延线南侧约500米",3居/4居/5居及以上 建面 143~247 ㎡ 顺销开盘 浏览,电建金地华宸,均价 65000 元/㎡,顺销开盘 浏览,普通住宅 品牌地产 交通便利
"丰台区-丰台西四环看丹桥西,资和信百货西北侧",3居 建面 103~142 ㎡ 2017年05月01日开盘 浏览,北京泽信公馆,均价 76000 元/㎡,2017年05月01日开盘 浏览,普通住宅 品牌地产 交通便利
昌平区-北京市昌平区北七家北亚花园东路,4居/5居及以上 建面 210~400 ㎡ 2017年09月24日开盘 浏览,金隅上城郡,均价 45000 元/㎡,2017年09月24日开盘 浏览,别墅 品牌地产 交通便利
延庆县-北京市延庆区延琉路与八峪路交叉口,2居/3居 建面 75~90 ㎡ 2017年2月26日					开盘 浏览,城建万科城,均价 25500 元/㎡,2017年2月26日					开盘 浏览,普通住宅 品牌地产 交通便利 低总价 小户型
房山区-长沟国家湿地公园南侧,4居 建面 280~435 ㎡ 2015年06月06日开盘 浏览,长海御墅,均价 23000 元/㎡,2015年06月06日开盘 浏览,别墅 品牌地产 交通便利
朝阳区-东三环十里河弘燕路,顺销开盘 浏览,山水文园,均价 95000 元/㎡,,普通住宅 品牌地产 交通便利 非毛坯
昌平区-昌平区北七家镇立汤路7号院,3居/4居/5居及以上 建面 365~516 ㎡ 2015年11月15日开盘 浏览,北辰红橡墅,均价 32000 元/㎡,2015年11月15日开盘 浏览,别墅 品牌地产 交通便利
朝阳区-东苇路3号,5居及以上 建面 897 ㎡ 2014年06月01日开盘 浏览,九章别墅,均价 90000 元/㎡,2014年06月01日开盘 浏览,别墅 品牌地产 交通便利
昌平区-兴寿镇京承高速G11出口向西怀昌路北侧,4居/5居及以上 建面 517~863 ㎡ 2016年08月06日开盘 浏览,凯德麓语,均价 35000 元/㎡,2016年08月06日开盘 浏览,别墅 品牌地产 交通便利
亦庄开发区-经海一路与科创十二街交汇处向东200米,总建面 20.48万 ㎡ 2015年10月12日开盘 浏览,北京经开壹中心,售价 待定 ,2015年10月12日开盘 浏览,综合体商铺 品牌地产 交通便利
西城区-广安门外大街305号，莲花池东路，会城门桥南200米,2016-07-09开盘 浏览,玺源台,售价 待定 ,,普通住宅 品牌地产 交通便利
通州区-通州运河CBD新华东街与滨河中路南500米,总建面 3.6万 ㎡ 2018-09-01开盘 浏览,北京惠通中心,售价 待定 ,2018-09-01开盘 浏览,综合体商铺 品牌地产 交通便利
通州区-通州运河CBD新华东街与滨河中路南500米,总建面 3.6万 ㎡ 2018-09-01开盘 浏览,北京惠通中心,售价 待定 ,2018-09-01开盘 浏览,写字楼 品牌地产 交通便利
环京-张家口市-张家口市桥东区桥东区五一路与东环路交叉口东北处,2018-07-26开盘 浏览,博翠天宸,售价 待定 ,,普通住宅 品牌地产 交通便利
门头沟区-门头沟永定镇石龙西路与三石路交叉口向西200米南侧,3居/4居 建面 137~190 ㎡ 2017年01月01日开盘 浏览,丽景长安,均价 56900 元/㎡,2017年01月01日开盘 浏览,普通住宅 交通便利 非毛坯
朝阳区-北京市朝阳区工人体育场北路9号,1居 建面 139~183 ㎡ 2018-05-04开盘 浏览,铜雀,均价 130000 元/㎡,2018-05-04开盘 浏览,普通住宅 品牌地产 交通便利
大兴区-北京市南四环榴乡桥东南角,3居/4居 建面 185~214 ㎡ 2017年01月12日开盘 浏览,中冶德贤公馆,均价 85000 元/㎡,2017年01月12日开盘 浏览,普通住宅 品牌地产 交通便利
昌平区-昌平未来科技城南区内科技城路与南区一路交界处,3居/4居 建面 104~136 ㎡ 顺销开盘 浏览,东方蓝海中心,均价 57000 元/㎡,顺销开盘 浏览,普通住宅 品牌地产 交通便利
昌平区-昌平北七家镇定泗路与七北路交叉口东南角,5居及以上 建面 341~418 ㎡ 2017年03月31日开盘 浏览,国瑞熙墅,均价 46836 元/㎡,2017年03月31日开盘 浏览,别墅 品牌地产 交通便利
顺义区-北京市顺义区顺兴街9号院,3居/4居 建面 158~223 ㎡ 2015年08月08日开盘 浏览,中铁花溪渡,均价 45000 元/㎡,2015年08月08日开盘 浏览,别墅 品牌地产 交通便利
房山区-长阳地铁站南侧50米,1居/2居/3居 建面 50~83 ㎡ 2016年06月25日开盘 浏览,首开熙悦湾,均价 24000 元/㎡,2016年06月25日开盘 浏览,公寓 品牌地产 交通便利
门头沟区-长安街西延线与滨河路南延交汇处（东南侧）,总建面 24万 ㎡ 2017年05月01日开盘 浏览,远洋新天地,均价 90000 元/㎡,2017年05月01日开盘 浏览,综合体商铺 品牌地产 交通便利
门头沟区-长安街西延线与滨河路南延交汇处（东南侧）,总建面 24万 ㎡ 顺销开盘 浏览,远洋新天地,均价 38000 元/㎡,顺销开盘 浏览,写字楼 品牌地产 交通便利
顺义区-林河南大街与顺仁路交汇处向北100米处路西,总建面 13万 ㎡ 顺销开盘 浏览,中国铁建顺鑫汇,均价 50000 元/㎡,顺销开盘 浏览,综合体商铺 品牌地产 交通便利
"房山区-CSD办公楼南测,昊天北大街38号",3居 建面 132~137 ㎡ 2017年05月01日开盘 浏览,天资华府,均价 41500 元/㎡,2017年05月01日开盘 浏览,普通住宅 品牌地产 交通便利
平谷区-平谷区马坊镇,总建面 16.25万 ㎡ 2017年06月18日开盘 浏览,新华联YOYO,均价 15500 元/㎡,2017年06月18日开盘 浏览,写字楼 品牌地产 交通便利
房山区-房山区凯宾路58号院一区,现房开盘 浏览,西海别墅,均价 36000 元/㎡,,别墅 品牌地产 交通便利
朝阳区-望京南湖南路三帆中学对面,3居/4居 建面 147~210 ㎡ 2016年09月30日开盘 浏览,首开国风尚樾,均价 120000 元/㎡,2016年09月30日开盘 浏览,普通住宅 品牌地产 交通便利
朝阳区-北五环红军营东路轻轨13号线北苑站北200米,3居/4居 建面 65~251 ㎡ 2015年08月20日开盘 浏览,润景名苑（天润福熙大道）,均价 95000 元/㎡,2015年08月20日开盘 浏览,普通住宅 品牌地产 交通便利
平谷区-京平高速密三路出口南200米路西（北师大附中对面）,3居 建面 360~375 ㎡ 2017年10月01日开盘 浏览,首城汇景墅,均价 24000 元/㎡,2017年10月01日开盘 浏览,别墅 品牌地产 交通便利
通州区-运河CBD新华东街与滨河中路南500米,2居/3居 建面 89~121 ㎡ 蓄客开盘 浏览,复地中心,均价 65000 元/㎡,蓄客开盘 浏览,公寓 品牌地产 交通便利
通州区-运河CBD新华东街与滨河中路南500米,总建面 31.6万 ㎡ 2018年6月开盘 浏览,复地中心,均价 57000 元/㎡,2018年6月开盘 浏览,写字楼 品牌地产 交通便利
通州区-运河CBD新华东街与滨河中路南500米,总建面 31.6万 ㎡ 2018年6月开盘 浏览,复地中心,均价 90000 元/㎡,2018年6月开盘 浏览,综合体商铺 品牌地产 交通便利
顺义区-顺义新城昌金路向南通顺路乔波滑雪场西侧200米,2居/3居/4居 建面 90~248 ㎡ 顺销开盘 浏览,恒华安纳湖,均价 50000 元/㎡,顺销开盘 浏览,普通住宅 品牌地产 交通便利
顺义区-林河南大街与顺仁路交汇处向北100米处路西,总建面 13万 ㎡ 顺销开盘 浏览,中国铁建顺鑫汇,均价 25000 元/㎡,顺销开盘 浏览,写字楼 品牌地产 交通便利
房山区-北京市房山区窦店镇汇丰街三号院,2居/3居 建面 122~140 ㎡ 顺销开盘 浏览,世界名园,均价 24400 元/㎡,顺销开盘 浏览,普通住宅 品牌地产 旅游地产
顺义区-北京市顺义区李遂镇顺平东路,3居/4居 建面 227~651 ㎡ 2015年09月01日开盘 浏览,易郡,均价 31000 元/㎡,2015年09月01日开盘 浏览,别墅 交通便利 非毛坯
门头沟区-北京市门头沟区龙泉镇新桥大街西侧,3居/4居 建面 157~190 ㎡ 现房顺销开盘 浏览,华远裘马四季,均价 68000 元/㎡,现房顺销开盘 浏览,普通住宅 品牌地产 交通便利 非毛坯
门头沟区-永定镇长安街西延线南,3居/4居 建面 174~245 ㎡ 2016年09月01日开盘 浏览,泷悦长安,均价 85000 元/㎡,2016年09月01日开盘 浏览,普通住宅 别墅 品牌地产 交通便利
平谷区-平谷新城核心新建体育中心对面,2居/3居/4居 建面 101~260 ㎡ 顺销开盘 浏览,天润香墅湾,均价 35000 元/㎡,顺销开盘 浏览,普通住宅 品牌地产 交通便利
顺义区-新城右堤路与昌金路交汇处向北,3居/4居 建面 108~486 ㎡ 2017年09月29日开盘 浏览,顺鑫颐和天璟,均价 39000 元/㎡,2017年09月29日开盘 浏览,普通住宅 别墅 品牌地产 交通便利
大兴区-北京市大兴区新源大街与永兴路交汇处西南角,总建面 11.7万 ㎡ 2017年11月26日开盘 浏览,住总正华时代广场,均价 50000 元/㎡,2017年11月26日开盘 浏览,综合体商铺 品牌地产 交通便利
顺义区-北京市顺义区赵全营镇牛板路板桥段43号,总建面 20万 ㎡ 顺销开盘 浏览,尚峯壹號,均价 45000 元/㎡,顺销开盘 浏览,写字楼 品牌地产 交通便利 低总价 非毛坯
大兴区-广平大街和金西路交叉口(西红门星光视界中心对面),总建面 16.35万 ㎡ 储客开盘 浏览,华远西红世,均价 30000 元/㎡,储客开盘 浏览,综合体商铺 交通便利 优惠楼盘
通州区-滨河中路商务中心区成大广场,总建面 17.2万 ㎡ 2018-06-01开盘 浏览,成大广场,售价 待定 ,2018-06-01开盘 浏览,综合体商铺 品牌地产 交通便利
通州区-滨河中路商务中心区成大广场,总建面 17.2万 ㎡ 2018-06-01开盘 浏览,成大广场,售价 待定 ,2018-06-01开盘 浏览,写字楼 品牌地产 交通便利
大兴区-义和庄地铁东北口（B口）往北200米路东,总建面 40万 ㎡ 2016年12月31日开盘 浏览,泰禾中央广场,售价 待定 ,2016年12月31日开盘 浏览,写字楼 品牌地产 交通便利
大兴区-大兴孙村镇空港生活区，盛顺街与海鑫南路交叉口西北角,总建面 2万 ㎡ 2017年09月11日开盘 浏览,华远和墅,售价 待定 ,2017年09月11日开盘 浏览,综合体商铺 品牌地产 交通便利
西城区-二环内琉璃厂西侧50米,2014-11-08开盘 浏览,中信国安府,售价 待定 ,,普通住宅 品牌地产 交通便利
朝阳区-孙河京密路与顺黄路交叉口往西800米,5居及以上 建面 1366 ㎡ 2014-03-19开盘 浏览,泰禾北京院子,售价 待定 ,2014-03-19开盘 浏览,别墅 品牌地产 交通便利
丰台区-丰台区宋家庄地铁站南200米,2017-08-05开盘 浏览,北京金茂府,售价 待定 ,,普通住宅 别墅 品牌地产 交通便利
海淀区-清河小营桥西学府北街,2016-12-10开盘 浏览,橡林郡,售价 待定 ,,普通住宅 品牌地产 交通便利
大兴区-博兴西路与泰河三街交叉口,住宅 2017年11月18日开盘 浏览,金茂逸墅,售价 待定 ,,普通住宅 品牌地产 交通便利
环京-廊坊市-北京大兴野生动物园南（京开高速直达永定河畔）,2017年09月01日开盘 浏览,孔雀城大湖,售价 待定 ,,别墅 品牌地产 交通便利
通州区-东五环化工桥向东京津高速第一出口（通黄路出口2A大兴亦庄方向）通马路向南约500米,总建面 14.62万 ㎡ 2018-06-01开盘 浏览,首开万科云创天地,售价 待定 ,2018-06-01开盘 浏览,写字楼 品牌地产
通州区-东五环化工桥向东京津高速第一出口（通黄路出口2A大兴亦庄方向）通马路向南约500米,总建面 14.62万 ㎡ 2018-06-01开盘 浏览,首开万科云创天地,售价 待定 ,2018-06-01开盘 浏览,综合体商铺 品牌地产
朝阳区-朝阳公园东侧东四环姚家园路,2016-04-02开盘 浏览,泛海国际,售价 待定 ,,普通住宅 品牌地产 交通便利
海淀区-京藏高速小营桥东700米,2015-10-31开盘 浏览,北京城建世华龙樾,售价 待定 ,,普通住宅 品牌地产 交通便利
环京-廊坊市-新中西街与迎宾大道交叉口向西200米路南侧,2居 建面 86~114 ㎡ 2016年12月10日开盘 浏览,合美帝宝壹號,售价 待定 ,2016年12月10日开盘 浏览,普通住宅 品牌地产 交通便利
环京-廊坊市-新源街与永康路交汇处西南角200米处,2居/3居 建面 93~120 ㎡ 2016年11月19日开盘 浏览,金海太阳公园,售价 待定 ,2016年11月19日开盘 浏览,普通住宅 品牌地产 交通便利
朝阳区-北苑城铁站北300米路西,2016-09-10开盘 浏览,北京华贸城,售价 待定 ,,别墅 品牌地产 交通便利
环京-廊坊市-燕郊高新区思菩兰西路京华高尔夫东侧,2017-08-09开盘 浏览,港中旅海泉湾,售价 待定 ,,普通住宅 品牌地产 交通便利
环京-廊坊市-汽车站西行300米,2016-10-15开盘 浏览,四季花园,售价 待定 ,,普通住宅 品牌地产 交通便利
大兴区-南五环向南4.5公里南中轴向西500米,总建面 13.46万 ㎡ 2014-12-01开盘 浏览,格林云墅,售价 待定 ,2014-12-01开盘 浏览,综合体商铺 品牌地产 交通便利
门头沟区-北京市门头沟区何各庄中街8号院,总建面 33万 ㎡ 2017-10-21开盘 浏览,首开保利欢乐大都汇,均价 65000 元/㎡,2017-10-21开盘 浏览,综合体商铺 交通便利 优惠楼盘
顺义区-顺义临空经济核心区南法信南300米,总建面 10.01万 ㎡ 预计2018-06-01开盘 浏览,旭辉26街区,均价 40000 元/㎡,预计2018-06-01开盘 浏览,综合体商铺 品牌地产 交通便利
门头沟区-北京市门头沟区何各庄中街8号院,总建面 33万 ㎡ 2017-10-21开盘 浏览,首开保利欢乐大都汇,均价 35000 元/㎡,2017-10-21开盘 浏览,写字楼 交通便利 优惠楼盘
昌平区-定泗路与立汤路交汇处向西2公里处,4居/5居及以上 建面 737~804 ㎡ 顺销开盘 浏览,珠江紫宸山,均价 48000 元/㎡,顺销开盘 浏览,别墅 品牌地产 交通便利
房山区-西六环青龙湖出口,2016年10月01日开盘 浏览,北京半岛,均价 48000 元/㎡,,别墅 品牌地产 交通便利
石景山区-北京市石景山路54号院2、5号楼,总建面 38万 ㎡ 2016年10月20日开盘 浏览,金融街（长安）中心,均价 75000 元/㎡,2016年10月20日开盘 浏览,综合体商铺 品牌地产 交通便利
石景山区-北京市石景山路54号院2、5号楼,总建面 38万 ㎡ 2016年10月20日开盘 浏览,金融街（长安）中心,均价 42000 元/㎡,2016年10月20日开盘 浏览,写字楼 品牌地产 交通便利
大兴区-大兴区新媒体产业基地盛坊路与广平大街交汇处,总建面 18.69万 ㎡ 顺销开盘 浏览,天恒世界集,均价 36000 元/㎡,顺销开盘 浏览,写字楼 交通便利 小户型
房山区-北京市房山区地铁房山线大学城北站A口,总建面 16.92万 ㎡ 顺销开盘 浏览,礼御,均价 24000 元/㎡,顺销开盘 浏览,写字楼 品牌地产 交通便利
昌平区-京承高速北七家出口800米路南,2017年09月16日开盘 浏览,未来公元,均价 61000 元/㎡,,普通住宅 品牌地产 交通便利
房山区-房山长阳清苑南街与汇商东路交汇处西北角,2018年02月10日开盘 浏览,广阳郡九号,均价 48000 元/㎡,,普通住宅 品牌地产 交通便利
海淀区-西北二环外高粱桥斜街北侧，慈献寺街西侧,总建面 4.39万 ㎡ 2017年10月01日开盘 浏览,融汇国际大厦,均价 85000 元/㎡,2017年10月01日开盘 浏览,写字楼 品牌地产 交通便利
通州区-通州新华西街与新华南路交汇处往南第二个红绿灯右转300米,总建面 28.77万 ㎡ 2017年07月18日开盘 浏览,富力禧堂,均价 80000 元/㎡,2017年07月18日开盘 浏览,综合体商铺 品牌地产 交通便利
大兴区-大兴新城北区后高路与兴丰大街交汇处东北角,5居及以上 建面 464~473 ㎡ 2015-12-25开盘 浏览,兴创屹墅,均价 70000 元/㎡,2015-12-25开盘 浏览,普通住宅 品牌地产 交通便利
昌平区-北京市昌平区龙锦1街,2018年02月25日开盘 浏览,公园悦府,均价 58500 元/㎡,,普通住宅 品牌地产 交通便利
朝阳区-朝阳区东坝中街,3居/4居/5居及以上 建面 181~390 ㎡ 顺销开盘 浏览,和光尘樾,均价 80000 元/㎡,顺销开盘 浏览,别墅 品牌地产 交通便利
通州区-通州区通州马驹桥6号桥北500米,总建面 38.91万 ㎡ 顺销开盘 浏览,珠江四季悦城（渠道）,均价 26000 元/㎡,顺销开盘 浏览,写字楼 交通便利 非毛坯
顺义区-北京市顺义区后沙峪镇顺平西路（枯柳树环岛西500米）,总建面 32.55万 ㎡ 顺销开盘 浏览,国门智慧城,均价 36000 元/㎡,顺销开盘 浏览,写字楼 品牌地产 交通便利
海淀区-北清路于稻香湖路交汇处,总建面 16.39万 ㎡ 顺销开盘 浏览,绿地海淀悦都会,均价 37000 元/㎡,顺销开盘 浏览,写字楼 品牌地产 交通便利
门头沟区-长安街西延线南约300米,3居/4居 建面 118~134 ㎡ 2017年09月17日开盘 浏览,北京城建龙樾西山,均价 55000 元/㎡,2017年09月17日开盘 浏览,普通住宅 品牌地产 交通便利
昌平区-京藏高速科技园出口（28出口）东侧,总建面 9.06万 ㎡ 定期释放3-4层约100套房源开盘 浏览,硅谷SOHO,均价 30000 元/㎡,定期释放3-4层约100套房源开盘 浏览,写字楼 品牌地产 交通便利
顺义区-顺义新城马坡组团白马路与通顺路交叉口向北700米,总建面 18万 ㎡ 顺销开盘 浏览,金宝Park天阶,均价 22000 元/㎡,顺销开盘 浏览,综合体商铺 品牌地产 交通便利
顺义区-顺义新城马坡组团白马路与通顺路交叉口向北700米,总建面 18万 ㎡ 顺销开盘 浏览,金宝Park天阶,均价 23000 元/㎡,顺销开盘 浏览,写字楼 品牌地产 交通便利
顺义区-京沈路与白马路交汇东南角200米处,总建面 12万 ㎡ 2017年10月31号开盘 浏览,中晟广场,均价 43000 元/㎡,2017年10月31号开盘 浏览,综合体商铺 品牌地产 交通便利
大兴区-北京市大兴南五环旧忠桥南800米,3居/4居 建面 227~287 ㎡ 2018.8.3开盘 浏览,首开保利熙悦林语,均价 52315 元/㎡,2018.8.3开盘 浏览,普通住宅 品牌地产 交通便利
房山区-房山良乡大学城北站路口50米,总建面 30万 ㎡ 顺销开盘 浏览,绿地诺亚方舟悦公馆,均价 24000 元/㎡,顺销开盘 浏览,写字楼 交通便利 优惠楼盘
顺义区-顺义区顺于路与南焦路交叉口东北方向,总建面 10.58万 ㎡ 顺销开盘 浏览,北京新干线,均价 31000 元/㎡,顺销开盘 浏览,社区商铺 交通便利 非毛坯
房山区-房山京周路与大窦路交叉口(大窦桥)东500米路北,2居 建面 73 ㎡ 顺销开盘 浏览,东亚朗悦居,均价 32000 元/㎡,顺销开盘 浏览,普通住宅 交通便利 小户型
昌平区-昌平南邵地铁站A口西南600米,2018-06-30开盘 浏览,招商都会中心,均价 58000 元/㎡,,普通住宅 品牌地产 交通便利
顺义区-北京市顺义区林河北大街21号院,总建面 8.84万 ㎡ 顺销开盘 浏览,鹭峯国际,均价 69000 元/㎡,顺销开盘 浏览,写字楼 品牌地产 交通便利
丰台区-丰台区花乡四合庄汽车博物馆西路,总建面 5.92万 ㎡ 2017年09月30日开盘 浏览,保利佲悦大都汇,均价 55000 元/㎡,2017年09月30日开盘 浏览,写字楼 品牌地产 交通便利
丰台区-丰台区花乡四合庄汽车博物馆西路,总建面 5.92万 ㎡ 2017年09月30日开盘 浏览,保利佲悦大都汇,均价 60000 元/㎡,2017年09月30日开盘 浏览,综合体商铺 品牌地产 交通便利
天津市-武清区黄庄街滨河道,2018年08月03日开盘 浏览,世茂国风雅颂,均价 17000 元/㎡,,普通住宅 别墅 品牌地产 交通便利
大兴区-亦庄经济技术开发区三海子东路南海子公园路北,2017-08-27开盘 浏览,中海北京世家,均价 60000 元/㎡,,普通住宅 别墅 品牌地产 交通便利
大兴区-芦求路与黄良路东北角,总建面 41.12万 ㎡ 2017年10月15日开盘 浏览,联港城市广场,均价 30000 元/㎡,2017年10月15日开盘 浏览,综合体商铺 品牌地产 交通便利
环京-廊坊市-燕顺路站旁，徐尹路大桥旁,总建面 22.5万 ㎡ 2018年07月11日开盘 浏览,首尔甜城·39街区,均价 50000 元/㎡,2018年07月11日开盘 浏览,综合体商铺 品牌地产 交通便利
环京-廊坊市-燕顺路站旁，徐尹路大桥旁,总建面 22.5万 ㎡ 2017年12月15日开盘 浏览,首尔甜城·39街区,均价 19800 元/㎡,2017年12月15日开盘 浏览,写字楼 品牌地产 交通便利
密云县-密云溪翁庄镇白河畔密溪路33号,5居及以上 建面 312~365 ㎡ 顺销开盘 浏览,阳光城君山墅,均价 26000 元/㎡,顺销开盘 浏览,别墅 品牌地产 交通便利
密云县-北京市密云区顺密路与潮河交汇处西北角,2017年09月29日开盘 浏览,益田远洋万和风景,均价 21000 元/㎡,,别墅 品牌地产 交通便利
顺义区-顺义临空经济核心区南法信南300米,总建面 10.01万 ㎡ 预计2018-06-01开盘 浏览,旭辉26街区,售价 待定 ,预计2018-06-01开盘 浏览,写字楼 品牌地产 交通便利
通州区-通州区永顺南街,总建面 71.6万 ㎡ 开盘时间待定开盘 浏览,新光大中心,售价 待定 ,开盘时间待定开盘 浏览,综合体商铺 品牌地产 交通便利
门头沟区-门头沟阜石路双峪环岛向北1000米路西,2013年08月31日开盘 浏览,西山御园,售价 待定 ,,普通住宅 品牌地产 交通便利
海淀区-安宁庄西路与小营西路交汇处西南侧,别墅2016年03月01日开盘 浏览,合景映月台,售价 待定 ,,别墅 品牌地产 交通便利
石景山区-石景山区银河大街,总建面 18万 ㎡ 2017年01月开盘 浏览,泰禾长安中心,售价 待定 ,2017年01月开盘 浏览,综合体商铺 品牌地产 交通便利
房山区-北京市房山区良乡,总建面 21万 ㎡ 2016年09月27日开盘 浏览,首创紫悦台,售价 待定 ,2016年09月27日开盘 浏览,写字楼 品牌地产 交通便利
昌平区-昌平区小汤山镇（未来科技城北区）,3居 建面 117~127 ㎡ 2017年08月16日开盘 浏览,华润未来城市,售价 待定 ,2017年08月16日开盘 浏览,普通住宅 品牌地产 交通便利
